"","state","sex","county","group","age"
"1","Florida","M",2,6,3
"2","California","F",4,3,4
"3","Texas","M",12,3,4
"4","Florida","F",2,3,4
"5","Texas","M",4,6,4
"6","Texas","F",2,3,3
"7","Florida","M",6,3,4
"8","Florida","F",2,6,4
"9","California","M",2,3,6
"10","California","F",21,3,4
"11","California","M",2,3,4
"12","California","M",2,6,7
"13","Texas","F",23,3,4
"14","Florida","M",2,3,4
"15","Florida","F",12,7,4
"16","Texas","M",2,3,8
"17","California","F",3,7,9
"18","California","M",2,3,11
"19","California","M",1,3,11
